,Location,FIPS,Category,"% Change in Mortality Rate, 1980-201",1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,Premium
23,Alaska,2,Musculoskeletal disorders,74.0,2.52,2.78,3.16,3.64,4.41,4.41,4.17,4.39,5.0,5.29,Increase
24,Alaska,2,"Diabetes, urogenital, blood, and endocrine diseases",20.93,40.66,40.23,41.71,44.76,49.5,50.05,47.77,49.17,52.29,53.8,Increase
25,Alaska,2,Digestive diseases,-44.1,26.93,24.49,22.31,20.63,19.37,17.54,15.58,15.05,12.56,10.86,Decrease
26,Alaska,2,Chronic respiratory diseases,-6.89,55.16,54.6,55.24,57.75,60.23,56.9,52.77,51.36,53.99,53.65,Decrease
27,Alaska,2,Neurological disorders,-10.17,112.5,108.55,103.8,105.51,103.71,102.52,101.89,101.06,98.57,97.15,Decrease
28,Alaska,2,Cirrhosis and other chronic liver diseases,-1.93,20.57,19.2,17.89,17.0,17.18,18.44,19.51,20.17,18.78,18.78,Increase
29,Alaska,2,Mental and substance use disorders,76.49,12.45,10.96,12.04,12.74,16.04,20.08,20.92,21.98,23.61,25.33,Increase
30,Alaska,2,"Forces of nature, war, and legal intervention",-75.91,0.42,0.7,0.45,0.35,0.55,2.09,0.6,0.1,0.79,0.81,Increase
31,Alaska,2,Unintentional injuries,-57.52,59.07,46.45,40.87,35.56,31.29,29.07,26.93,25.09,16.69,12.23,Decrease
32,Alaska,2,Nutritional deficiencies,-32.43,2.43,2.25,2.18,2.28,2.33,1.82,1.6,1.64,1.54,1.42,Decrease
33,Alaska,2,"Other communicable, maternal, neonatal, and nutritional diseases",-9.26,1.56,1.78,2.3,2.8,3.0,2.06,1.42,1.41,1.86,1.82,Decrease
34,Alaska,2,Cardiovascular diseases,-50.33,436.87,383.95,336.37,315.33,287.88,244.18,215.68,217.01,160.85,128.9,Decrease
35,Alaska,2,"Diarrhea, lower respiratory, and other common infectious diseases",-54.95,44.29,39.0,36.47,33.83,28.28,23.99,20.7,19.95,14.48,10.85,Decrease
36,Alaska,2,Maternal disorders,55.91,0.12,0.11,0.15,0.16,0.15,0.2,0.2,0.19,0.22,0.23,Increase
37,Alaska,2,Other non-communicable diseases,-37.99,10.87,10.03,9.65,8.25,7.66,7.34,6.86,6.74,5.62,5.0,Decrease
38,Alaska,2,Self-harm and interpersonal violence,27.86,24.67,25.03,26.44,28.49,26.7,28.59,29.85,31.54,31.78,32.7,Increase
39,Alaska,2,Neoplasms,-20.96,246.42,237.36,233.01,232.42,218.97,204.36,193.52,194.76,183.66,175.56,Decrease
40,Alaska,2,Transport injuries,-67.13,48.3,39.49,34.8,31.26,26.22,22.63,18.03,15.87,9.44,4.97,Decrease
41,Alaska,2,Neglected tropical diseases and malaria,-23.63,0.09,0.06,0.05,0.04,0.04,0.08,0.07,0.07,0.06,0.06,Increase
42,Arizona,4,Neonatal disorders,-68.17,8.53,6.04,5.32,4.06,4.01,4.04,3.19,2.71,1.58,0.88,Decrease
43,Arizona,4,HIV/AIDS and tuberculosis,13.1,1.61,2.28,8.9,13.18,4.16,3.37,2.14,1.82,3.35,3.06,Decrease
44,Arizona,4,Musculoskeletal disorders,-13.59,3.33,3.22,3.28,3.46,3.64,3.31,2.85,2.87,2.99,2.93,Decrease
45,Arizona,4,"Diabetes, urogenital, blood, and endocrine diseases",31.94,38.06,38.76,38.82,42.76,47.33,46.59,46.45,50.22,51.74,53.54,Increase
46,Arizona,4,Digestive diseases,-31.21,18.21,17.13,16.09,15.4,14.71,13.73,12.72,12.53,11.34,10.51,Decrease
47,Arizona,4,Chronic respiratory diseases,-5.75,55.1,53.19,52.9,55.46,58.24,56.44,51.18,51.93,53.3,53.07,Decrease
48,Arizona,4,Neurological disorders,-2.89,92.92,93.8,86.93,94.5,104.55,105.67,95.91,90.23,98.67,99.36,Increase
49,Arizona,4,Cirrhosis and other chronic liver diseases,-4.8,21.99,20.8,19.33,18.54,18.84,20.59,20.42,20.94,19.9,19.84,Decrease
50,Arizona,4,Mental and substance use disorders,152.36,6.8,6.98,7.87,9.56,11.83,14.66,17.72,17.17,19.55,21.33,Increase
51,Arizona,4,"Forces of nature, war, and legal intervention",-84.07,0.33,0.33,0.38,0.35,0.26,0.97,0.25,0.05,0.33,0.32,Decrease
52,Arizona,4,Unintentional injuries,-14.56,25.16,21.91,20.72,20.22,20.76,24.19,22.23,21.5,21.39,21.23,Decrease
53,Arizona,4,Nutritional deficiencies,-53.46,2.02,1.87,1.66,1.86,1.52,1.06,0.95,0.94,0.72,0.55,Decrease
54,Arizona,4,"Other communicable, maternal, neonatal, and nutritional diseases",-32.03,2.6,2.84,3.11,3.81,3.96,2.59,1.8,1.77,2.14,2.0,Decrease
55,Arizona,4,Cardiovascular diseases,-49.4,413.7,373.15,338.85,312.23,287.18,253.25,212.01,209.33,165.06,135.08,Decrease
56,Arizona,4,"Diarrhea, lower respiratory, and other common infectious diseases",-46.09,39.67,36.46,37.67,34.49,32.69,30.42,24.24,21.39,20.74,18.21,Decrease
57,Arizona,4,Maternal disorders,23.09,0.19,0.16,0.2,0.21,0.19,0.26,0.25,0.23,0.26,0.27,Increase
58,Arizona,4,Other non-communicable diseases,-38.4,9.15,8.52,8.05,6.99,6.34,6.04,5.63,5.64,4.6,4.05,Decrease
59,Arizona,4,Self-harm and interpersonal violence,-14.25,30.24,28.48,29.36,30.19,26.15,28.37,26.32,25.93,25.56,24.99,Decrease
60,Arizona,4,Neoplasms,-20.68,214.67,208.52,206.56,200.63,192.43,182.52,170.68,170.27,162.2,155.29,Decrease
61,Arizona,4,Transport injuries,-55.9,35.71,29.88,26.81,24.46,22.76,22.32,16.57,15.75,12.42,9.78,Decrease
62,Arizona,4,Neglected tropical diseases and malaria,74.8,0.04,0.04,0.03,0.03,0.04,0.07,0.07,0.07,0.08,0.08,Increase
63,Arkansas,5,Neonatal disorders,-54.9,8.6,6.65,5.89,4.69,4.76,4.91,4.23,3.88,2.88,2.31,Decrease
64,Arkansas,5,HIV/AIDS and tuberculosis,103.94,1.03,1.51,6.33,11.02,3.79,3.38,2.34,2.1,3.7,3.65,Decrease
65,Arkansas,5,Musculoskeletal disorders,-11.73,3.44,3.41,3.5,3.71,3.95,3.66,3.14,3.04,3.3,3.26,Decrease
66,Arkansas,5,"Diabetes, urogenital, blood, and endocrine diseases",36.12,49.02,50.1,53.24,59.17,65.79,69.39,66.17,66.73,73.85,76.94,Increase
67,Arkansas,5,Digestive diseases,-18.92,20.92,20.46,19.74,19.48,19.0,18.38,17.15,16.96,16.4,15.81,Decrease
68,Arkansas,5,Chronic respiratory diseases,75.03,39.78,43.29,47.02,54.07,62.11,65.31,66.44,69.63,76.72,81.34,Increase
69,Arkansas,5,Neurological disorders,83.31,54.96,58.47,64.59,71.56,81.4,89.62,96.8,100.74,109.25,116.36,Increase
70,Arkansas,5,Cirrhosis and other chronic liver diseases,25.66,15.07,14.8,14.38,14.33,14.91,16.83,18.34,18.94,18.77,19.4,Increase
71,Arkansas,5,Mental and substance use disorders,366.61,2.36,2.46,3.0,3.71,4.92,7.82,10.15,10.99,11.81,13.18,Increase
72,Arkansas,5,"Forces of nature, war, and legal intervention",-70.05,0.53,0.54,0.47,0.43,0.41,1.98,0.5,0.16,0.72,0.74,Increase
73,Arkansas,5,Unintentional injuries,-22.28,29.73,26.55,24.3,23.2,22.69,23.22,23.18,23.11,20.91,20.11,Decrease
74,Arkansas,5,Nutritional deficiencies,30.86,1.73,1.88,2.02,2.38,2.6,2.22,2.12,2.27,2.46,2.53,Increase
75,Arkansas,5,"Other communicable, maternal, neonatal, and nutritional diseases",-16.05,1.76,1.99,2.54,3.19,3.33,2.19,1.49,1.48,1.96,1.89,Decrease
76,Arkansas,5,Cardiovascular diseases,-37.74,520.61,489.37,444.04,431.32,408.79,361.81,322.61,324.15,280.07,250.57,Decrease
77,Arkansas,5,"Diarrhea, lower respiratory, and other common infectious diseases",11.47,37.29,39.74,42.06,44.38,44.4,43.29,39.99,41.57,43.46,43.88,Increase
78,Arkansas,5,Maternal disorders,101.91,0.25,0.24,0.32,0.34,0.33,0.47,0.49,0.5,0.55,0.59,Increase
79,Arkansas,5,Other non-communicable diseases,-28.03,10.81,10.08,9.78,8.74,8.13,8.0,7.7,7.78,6.79,6.32,Decrease
80,Arkansas,5,Self-harm and interpersonal violence,-0.19,27.56,26.74,27.25,27.36,24.47,25.86,26.22,27.51,26.08,25.97,Decrease
81,Arkansas,5,Neoplasms,-12.12,250.2,249.3,248.18,250.18,239.25,230.42,218.79,219.87,215.29,210.18,Decrease
82,Arkansas,5,Transport injuries,-24.31,31.38,29.14,29.18,28.51,28.29,28.02,24.51,23.75,23.55,22.59,Decrease
83,Arkansas,5,Neglected tropical diseases and malaria,32.47,0.06,0.06,0.05,0.04,0.05,0.09,0.09,0.08,0.09,0.09,Increase
84,California,6,Neonatal disorders,-69.5,7.44,5.67,5.04,3.78,3.37,3.3,2.66,2.27,1.14,0.47,Decrease
85,California,6,HIV/AIDS and tuberculosis,23.18,2.0,4.47,15.64,19.68,5.84,4.73,2.95,2.47,4.5,3.89,Decrease
86,California,6,Musculoskeletal disorders,-4.84,2.53,2.56,2.65,2.91,3.09,2.85,2.51,2.41,2.67,2.67,Decrease
87,California,6,"Diabetes, urogenital, blood, and endocrine diseases",26.82,37.01,38.08,39.09,43.54,47.83,50.16,46.64,46.94,51.69,53.47,Increase
88,California,6,Digestive diseases,-39.88,19.7,18.67,17.1,16.44,15.29,14.01,12.5,11.85,10.54,9.39,Decrease
89,California,6,Chronic respiratory diseases,-7.99,45.58,47.33,47.35,50.01,52.14,49.25,44.59,41.94,45.59,45.22,Decrease
90,California,6,Neurological disorders,-6.31,84.94,82.84,77.71,76.65,75.92,78.65,79.11,79.58,76.53,75.88,Decrease
91,California,6,Cirrhosis and other chronic liver diseases,-29.97,24.09,21.76,19.31,16.99,16.46,17.08,17.34,16.87,14.46,13.51,Decrease
92,California,6,Mental and substance use disorders,75.26,6.48,7.64,7.51,8.32,8.78,11.39,11.72,11.35,12.72,13.51,Increase
93,California,6,"Forces of nature, war, and legal intervention",-75.2,0.16,0.2,0.18,0.17,0.17,1.05,0.2,0.04,0.37,0.39,Increase
94,California,6,Unintentional injuries,-39.96,19.16,16.63,14.25,12.99,12.25,12.83,12.01,11.51,9.58,8.61,Decrease
95,California,6,Nutritional deficiencies,-39.68,1.09,1.03,0.98,1.01,1.01,0.79,0.66,0.66,0.61,0.55,Decrease
96,California,6,"Other communicable, maternal, neonatal, and nutritional diseases",-46.88,2.77,3.17,3.07,3.75,3.79,2.53,1.54,1.47,1.75,1.53,Decrease
97,California,6,Cardiovascular diseases,-53.59,478.25,443.79,397.68,361.0,328.56,276.98,234.19,221.94,169.4,130.87,Decrease
98,California,6,"Diarrhea, lower respiratory, and other common infectious diseases",-44.12,42.03,44.0,44.93,43.49,34.82,29.38,25.38,23.48,21.03,17.72,Decrease
99,California,6,Maternal disorders,18.37,0.2,0.18,0.21,0.2,0.2,0.26,0.26,0.24,0.26,0.27,Increase
100,California,6,Other non-communicable diseases,-47.28,8.46,7.57,6.93,5.94,5.44,5.11,4.66,4.46,3.47,2.89,Decrease
101,California,6,Self-harm and interpersonal violence,-45.75,29.72,26.53,25.07,23.54,18.25,18.36,16.73,16.12,12.7,10.68,Decrease
102,California,6,Neoplasms,-28.56,231.47,226.35,216.08,212.05,195.47,182.78,168.84,165.36,153.36,143.05,Decrease
103,California,6,Transport injuries,-58.23,25.47,21.69,19.67,16.81,14.93,14.51,10.85,10.64,7.43,5.34,Decrease
104,California,6,Neglected tropical diseases and malaria,10.78,0.05,0.04,0.03,0.02,0.03,0.06,0.05,0.05,0.05,0.05,Increase
105,Colorado,8,Neonatal disorders,-66.77,8.02,5.95,5.27,3.87,3.59,3.65,3.01,2.66,1.43,0.75,Decrease
106,Colorado,8,HIV/AIDS and tuberculosis,-8.01,1.29,1.93,8.35,10.69,2.91,2.47,1.51,1.19,2.28,1.94,Decrease
107,Colorado,8,Musculoskeletal disorders,7.89,3.34,3.5,3.78,4.02,4.37,4.22,3.66,3.61,4.05,4.1,Increase
108,Colorado,8,"Diabetes, urogenital, blood, and endocrine diseases",11.94,36.55,37.85,37.49,41.39,44.38,45.88,41.01,40.92,44.68,45.57,Increase
109,Colorado,8,Digestive diseases,-33.93,22.36,21.47,20.41,19.12,17.96,16.77,15.33,14.77,13.39,12.24,Decrease
110,Colorado,8,Chronic respiratory diseases,2.28,56.99,58.06,58.84,62.66,66.28,62.98,60.2,58.29,62.46,62.88,Increase
111,Colorado,8,Neurological disorders,-11.24,114.11,107.66,102.88,111.62,114.45,108.24,105.43,101.28,103.81,102.84,Decrease
112,Colorado,8,Cirrhosis and other chronic liver diseases,11.61,16.95,16.58,15.91,15.4,15.89,17.46,18.44,18.92,18.46,18.79,Increase
113,Colorado,8,Mental and substance use disorders,198.91,4.97,4.49,5.41,8.55,9.74,13.12,14.82,14.86,17.27,19.0,Increase
114,Colorado,8,"Forces of nature, war, and legal intervention",-83.01,0.38,0.27,0.47,0.36,0.25,1.58,0.4,0.06,0.56,0.58,Increase
115,Colorado,8,Unintentional injuries,3.05,24.5,23.62,21.24,22.31,22.86,24.17,24.97,25.25,24.76,25.01,Increase
116,Colorado,8,Nutritional deficiencies,-45.8,2.71,2.75,2.74,2.7,2.52,1.95,1.47,1.47,1.34,1.13,Decrease
117,Colorado,8,"Other communicable, maternal, neonatal, and nutritional diseases",-19.01,1.65,1.86,2.27,2.86,2.96,2.09,1.4,1.34,1.79,1.73,Decrease
118,Colorado,8,Cardiovascular diseases,-47.83,401.63,371.32,331.71,306.55,280.94,242.88,205.59,209.52,161.69,132.33,Decrease
119,Colorado,8,"Diarrhea, lower respiratory, and other common infectious diseases",-40.82,43.57,43.82,42.42,38.6,31.66,28.81,25.79,25.79,21.0,17.88,Decrease
120,Colorado,8,Maternal disorders,31.62,0.16,0.15,0.19,0.19,0.16,0.22,0.22,0.2,0.22,0.23,Increase
121,Colorado,8,Other non-communicable diseases,-34.47,8.82,8.23,7.97,7.12,6.65,6.38,5.91,5.78,5.07,4.61,Decrease
122,Colorado,8,Self-harm and interpersonal violence,-11.02,26.56,26.78,24.67,25.21,21.49,23.65,22.59,23.64,21.74,21.17,Decrease
123,Colorado,8,Neoplasms,-15.74,195.21,192.17,193.97,192.66,182.69,174.57,165.39,164.49,160.3,155.33,Decrease
124,Colorado,8,Transport injuries,-53.2,27.34,22.94,20.85,20.01,19.53,17.1,13.39,12.8,10.61,8.69,Decrease
125,Colorado,8,Neglected tropical diseases and malaria,114.8,0.05,0.05,0.04,0.04,0.05,0.1,0.1,0.11,0.11,0.12,Increase
126,Connecticut,9,Neonatal disorders,-64.15,9.58,7.2,6.17,4.86,4.62,4.56,3.82,3.43,2.05,1.27,Decrease
127,Connecticut,9,HIV/AIDS and tuberculosis,59.34,1.58,2.82,10.1,16.38,5.96,4.81,3.01,2.51,4.89,4.66,Decrease
128,Connecticut,9,Musculoskeletal disorders,-9.98,2.3,2.29,2.3,2.49,2.69,2.47,2.12,2.07,2.25,2.23,Decrease
129,Connecticut,9,"Diabetes, urogenital, blood, and endocrine diseases",15.51,39.85,41.94,41.26,44.97,48.17,49.07,46.23,46.04,49.59,50.68,Increase
130,Connecticut,9,Digestive diseases,-27.44,19.29,18.49,17.41,17.04,16.38,15.49,14.29,14.0,13.1,12.33,Decrease
131,Connecticut,9,Chronic respiratory diseases,25.84,34.86,36.01,37.45,42.5,47.47,46.02,42.74,43.87,48.19,49.71,Increase
132,Connecticut,9,Neurological disorders,17.87,79.75,78.91,78.4,77.84,80.22,84.48,84.53,94.0,90.22,91.99,Increase
133,Connecticut,9,Cirrhosis and other chronic liver diseases,-28.99,20.29,18.45,16.27,15.27,14.55,14.82,14.58,14.41,12.57,11.79,Decrease
134,Connecticut,9,Mental and substance use disorders,213.47,4.53,3.71,3.96,6.73,8.42,10.09,11.25,14.2,14.58,16.08,Increase
135,Connecticut,9,"Forces of nature, war, and legal intervention",-86.55,0.15,0.14,0.09,0.07,0.07,0.44,0.08,0.02,0.12,0.12,Decrease
136,Connecticut,9,Unintentional injuries,-5.76,20.83,18.87,17.91,18.27,18.81,18.76,19.44,19.63,18.93,18.9,Decrease
137,Connecticut,9,Nutritional deficiencies,-23.13,1.14,1.17,1.17,1.35,1.31,1.0,0.9,0.88,0.92,0.87,Decrease
138,Connecticut,9,"Other communicable, maternal, neonatal, and nutritional diseases",-26.86,1.63,1.79,2.0,2.44,2.73,1.73,1.23,1.19,1.5,1.42,Decrease
139,Connecticut,9,Cardiovascular diseases,-53.57,470.72,430.94,364.74,344.06,310.31,255.33,220.62,218.57,156.63,118.79,Decrease
140,Connecticut,9,"Diarrhea, lower respiratory, and other common infectious diseases",-19.75,39.56,39.97,40.73,40.3,37.73,36.18,32.05,31.75,31.36,30.05,Decrease
141,Connecticut,9,Maternal disorders,6.9,0.27,0.21,0.17,0.12,0.15,0.25,0.29,0.28,0.26,0.27,Increase
142,Connecticut,9,Other non-communicable diseases,-43.87,8.52,7.79,7.07,6.34,5.73,5.28,4.85,4.78,3.78,3.23,Decrease
143,Connecticut,9,Self-harm and interpersonal violence,-19.16,17.26,15.8,15.87,15.31,13.96,13.9,14.24,13.95,12.99,12.53,Decrease
144,Connecticut,9,Neoplasms,-28.07,249.52,241.76,230.07,227.76,211.7,198.21,183.05,179.49,167.23,156.57,Decrease
145,Connecticut,9,Transport injuries,-56.55,20.49,17.36,15.45,13.57,12.84,11.73,9.8,8.9,6.76,5.2,Decrease
146,Connecticut,9,Neglected tropical diseases and malaria,24.85,0.03,0.03,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,Increase
147,Delaware,10,Neonatal disorders,-61.91,11.87,9.01,7.74,6.19,6.3,6.13,5.11,4.52,3.06,2.15,Decrease
148,Delaware,10,HIV/AIDS and tuberculosis,187.55,1.54,2.87,11.12,19.72,8.53,7.37,5.04,4.42,8.04,8.14,Increase
149,Delaware,10,Musculoskeletal disorders,-9.2,3.18,3.17,3.24,3.5,3.7,3.44,2.95,2.88,3.13,3.1,Decrease
150,Delaware,10,"Diabetes, urogenital, blood, and endocrine diseases",-17.27,67.7,65.48,64.64,63.73,65.17,64.28,57.71,56.0,56.64,55.21,Decrease
151,Delaware,10,Digestive diseases,-31.47,19.62,19.16,17.7,17.12,16.24,15.09,13.86,13.45,12.33,11.4,Decrease
152,Delaware,10,Chronic respiratory diseases,30.9,39.51,42.32,44.02,49.12,54.37,54.75,52.35,51.72,57.79,59.85,Increase
153,Delaware,10,Neurological disorders,17.41,75.16,77.63,80.05,78.02,82.48,88.07,96.02,88.25,94.57,97.1,Increase
154,Delaware,10,Cirrhosis and other chronic liver diseases,-21.47,20.74,19.02,17.07,15.8,15.51,16.14,16.87,16.29,14.77,14.23,Decrease
155,Delaware,10,Mental and substance use disorders,183.44,5.68,4.42,4.95,6.02,7.84,11.36,15.56,16.09,17.01,18.79,Increase
156,Delaware,10,"Forces of nature, war, and legal intervention",-72.09,0.22,0.25,0.16,0.17,0.22,1.09,0.22,0.06,0.38,0.4,Increase
157,Delaware,10,Unintentional injuries,-26.27,23.44,20.2,19.03,17.99,17.94,17.91,17.68,17.28,15.77,15.06,Decrease
158,Delaware,10,Nutritional deficiencies,-44.26,2.27,2.25,2.07,2.13,2.1,1.58,1.25,1.27,1.14,0.98,Decrease
159,Delaware,10,"Other communicable, maternal, neonatal, and nutritional diseases",-11.8,1.73,1.95,2.2,2.73,3.23,2.1,1.49,1.53,1.93,1.89,Decrease
160,Delaware,10,Cardiovascular diseases,-53.02,533.37,494.29,421.76,385.48,351.07,304.01,253.98,250.57,183.13,140.64,Decrease
161,Delaware,10,"Diarrhea, lower respiratory, and other common infectious diseases",-6.24,33.46,35.55,34.42,38.34,40.93,34.78,31.32,31.37,33.3,32.92,Decrease
162,Delaware,10,Maternal disorders,36.9,0.29,0.27,0.25,0.2,0.24,0.34,0.39,0.4,0.39,0.41,Increase
163,Delaware,10,Other non-communicable diseases,-45.98,10.94,10.08,9.36,7.89,6.9,6.64,6.12,5.91,4.54,3.78,Decrease
164,Delaware,10,Self-harm and interpersonal violence,-4.98,21.28,18.93,19.28,18.32,17.19,19.16,19.69,20.22,18.99,18.92,Decrease
165,Delaware,10,Neoplasms,-26.5,270.11,264.95,256.17,250.85,232.52,219.66,203.01,198.53,186.69,175.52,Decrease
166,Delaware,10,Transport injuries,-46.51,25.86,22.59,21.31,19.13,19.02,17.5,14.64,13.84,11.98,10.37,Decrease
167,Delaware,10,Neglected tropical diseases and malaria,26.99,0.03,0.03,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,Increase
168,District of Columbia,11,Neonatal disorders,-70.79,22.84,17.56,17.01,13.17,11.31,10.76,7.98,6.67,3.68,1.52,Decrease
169,District of Columbia,11,HIV/AIDS and tuberculosis,129.46,7.23,19.6,71.66,101.08,45.85,37.31,21.52,16.59,35.65,34.66,Decrease
170,District of Columbia,11,Musculoskeletal disorders,-31.91,4.07,3.88,3.99,4.11,4.12,3.63,2.91,2.77,2.88,2.7,Decrease
171,District of Columbia,11,"Diabetes, urogenital, blood, and endocrine diseases",-25.35,79.93,81.31,88.67,95.74,87.51,79.38,67.34,59.67,66.67,63.72,Decrease
172,District of Columbia,11,Digestive diseases,-47.54,29.83,28.09,25.91,24.55,21.41,19.39,16.47,15.65,13.02,10.87,Decrease
173,District of Columbia,11,Chronic respiratory diseases,-18.44,37.05,36.98,38.28,39.53,39.81,35.65,32.47,30.21,32.07,31.14,Decrease
174,District of Columbia,11,Neurological disorders,-11.18,78.3,71.62,78.28,71.07,70.02,70.84,68.45,69.55,66.88,65.69,Decrease
175,District of Columbia,11,Cirrhosis and other chronic liver diseases,-73.48,62.72,51.19,43.62,31.65,23.91,23.88,18.89,16.64,4.54,-2.02,Decrease
176,District of Columbia,11,Mental and substance use disorders,47.02,12.64,14.7,9.83,10.87,25.41,19.97,21.25,18.59,23.05,24.47,Increase
177,District of Columbia,11,"Forces of nature, war, and legal intervention",-86.17,0.69,0.41,0.48,0.34,0.27,1.26,0.22,0.1,0.32,0.29,Decrease
178,District of Columbia,11,Unintentional injuries,-49.14,34.38,32.26,29.31,27.34,22.76,23.31,19.91,17.48,14.99,12.58,Decrease
179,District of Columbia,11,Nutritional deficiencies,-74.55,2.2,1.96,1.87,1.86,1.48,1.06,0.69,0.56,0.35,0.11,Decrease
180,District of Columbia,11,"Other communicable, maternal, neonatal, and nutritional diseases",-52.37,4.19,4.53,4.81,5.28,6.08,3.46,2.07,2.0,2.4,2.03,Decrease
181,District of Columbia,11,Cardiovascular diseases,-43.44,522.75,487.71,449.72,424.91,398.56,351.94,292.39,295.67,248.36,214.0,Decrease
182,District of Columbia,11,"Diarrhea, lower respiratory, and other common infectious diseases",-55.25,60.61,56.75,53.12,54.54,43.42,39.62,31.44,27.13,23.73,18.82,Decrease
183,District of Columbia,11,Maternal disorders,-45.87,1.34,1.05,0.7,0.39,0.46,0.62,0.75,0.73,0.44,0.37,Decrease
184,District of Columbia,11,Other non-communicable diseases,-47.44,15.35,14.44,13.32,11.92,10.69,9.57,8.24,8.07,6.39,5.27,Decrease
185,District of Columbia,11,Self-harm and interpersonal violence,-47.08,52.38,47.14,58.41,50.18,39.39,40.85,30.86,27.72,26.36,22.58,Decrease
186,District of Columbia,11,Neoplasms,-37.75,330.69,322.53,316.09,306.42,265.72,239.14,208.8,205.84,182.57,162.17,Decrease
187,District of Columbia,11,Transport injuries,-45.33,16.08,14.97,13.43,12.72,12.55,11.94,9.76,8.79,8.15,7.18,Decrease
188,District of Columbia,11,Neglected tropical diseases and malaria,-12.24,0.06,0.05,0.04,0.03,0.04,0.07,0.06,0.05,0.05,0.06,Increase
189,Florida,12,Neonatal disorders,-64.9,10.19,7.55,6.5,5.15,4.95,4.89,4.14,3.58,2.21,1.39,Decrease
190,Florida,12,HIV/AIDS and tuberculosis,156.82,2.09,4.91,18.25,27.49,11.39,9.54,6.44,5.36,10.06,9.92,Decrease
191,Florida,12,Musculoskeletal disorders,-9.5,2.61,2.58,2.61,2.79,2.95,2.74,2.4,2.36,2.52,2.49,Decrease
192,Florida,12,"Diabetes, urogenital, blood, and endocrine diseases",27.65,38.24,39.1,40.09,44.41,48.2,50.35,49.38,48.82,53.4,55.3,Increase
